time,open,high,low,close
2022-06-11,29059.17,29407.09,28090.16,28387.02
2022-06-12,28395.94,28511.41,26517.39,26565.12
2022-06-13,26546.5,26849.82,21920.2,22458.28
2022-06-14,22445.38,23297.6,20820.76,22109.15
2022-06-15,22106.02,22773.55,20076.43,22560.52
2022-06-16,22558.72,22960.59,20203.56,20350.22
2022-06-17,20375.95,21331.2,20220.98,20441.06
2022-06-18,20440.54,20749,17591.96,18951.09
2022-06-19,18948.38,20790.46,17929.28,20552.98
2022-06-20,20550.63,21039.07,19631.43,20586.13
2022-06-21,20551.51,21701.44,20330.97,20702.57
2022-06-22,20702.41,20866.51,19750.68,19961.51
2022-06-23,19964.18,21205.32,19872.81,21096.53
2022-06-24,21099.88,21532.73,20720.29,21216.63
2022-06-25,21223.24,21589.19,20896.44,21481.56
2022-06-26,21478.41,21867.79,20957.93,21029.53
2022-06-27,21026.47,21517.6,20498.95,20711.61
2022-06-28,20715.23,21182.21,20173.33,20253.96
2022-06-29,20253.69,20401.41,19828.53,20091.47
2022-06-30,20096.49,20136.62,18608.03,19949.77
2022-07-01,19960.39,20883.93,18945.86,19248.11
2022-07-02,19254.56,19423.04,18963.38,19224.84
2022-07-03,19228.29,19630.9,18758.64,19292.67
2022-07-04,19294.22,20324.27,19033.98,20208.46
2022-07-05,20209.38,20726.41,19285.22,20162.71
2022-07-06,20161.75,20618.24,19747.43,20544.2
2022-07-07,20543.08,21840.99,20235.26,21621.52
2022-07-08,21617.25,22452.18,21174.99,21589.1
2022-07-09,21583.22,21954.89,21316.78,21581.19
2022-07-10,21580.64,21591.23,20634.71,20843.12
2022-07-11,20845.93,20853.02,19871.22,19946.61
2022-07-12,19945.38,20034,19227.92,19310.95
2022-07-13,19315.26,20338.83,18904.41,20229.58
2022-07-14,20222.12,20891.93,19609.22,20576.56
2022-07-15,20575.24,21188.96,20371.87,20828.63
2022-07-16,20825.38,21576.75,20477.43,21196.9
2022-07-17,21190.9,21662.48,20755.1,20793.29
2022-07-18,20790.02,22767.53,20761.84,22438.4
2022-07-19,22441.38,23795.06,21586.35,23402.53
2022-07-20,23399.61,24277.96,22922.33,23223.96
2022-07-21,23218.69,23431.68,22348.63,23158.95
2022-07-22,23156.26,23755.2,22514.32,22684.25
2022-07-23,22690.43,23000.27,21947.3,22459.15
2022-07-24,22459.72,23012.75,22268.45,22586.22
2022-07-25,22586.23,22664.9,21260.12,21306.56
2022-07-26,21308.58,21337.12,20709.26,21264.87
2022-07-27,21263.12,23119.04,21050.19,22964.43
2022-07-28,22969.77,24200.17,22566.12,23855.88
2022-07-29,23852.54,24459.8,23439.86,23789.6
2022-07-30,23788.07,24675.03,23524.73,23645.08
2022-07-31,23648.58,24189.32,23246.01,23315.95
2022-08-01,23304.94,23513.82,22861.52,23277.07
2022-08-02,23278.74,23463.05,22665.14,22994.19
2022-08-03,22995.62,23645.97,22696.42,22831.86
2022-08-04,22826.58,23227.41,22402.03,22621.93
2022-08-05,22627.17,23476.23,22592.67,23322.46
2022-08-06,23319.95,23350.12,22926.35,22952.69
2022-08-07,22957.86,23403.23,22855.5,23181.62
2022-08-08,23179.86,24245.04,23165.41,23820.8
2022-08-09,23816.39,23919.52,22880.85,23159.22
2022-08-10,23157.94,24220,22676.61,23961.97
2022-08-11,23960.8,24915.5,23869.59,23954.9
2022-08-12,23954.4,24461.1,23604.07,24413.41
2022-08-13,24417.98,24904.88,24305.96,24452.44
2022-08-14,24455.15,25045.61,24161.27,24314.02
